Fecha     Comportamiendo de la accion     Punto medio HIGH - LOW
26/04/2021     SUBE     3.5
27/04/2021     SUBE     2.0
28/04/2021     BAJA     3.5
29/04/2021     BAJA     3.5
30/04/2021     BAJA     3.5
03/05/2021     BAJA     5.5
04/05/2021     BAJA     3.0
05/05/2021     BAJA     3.5
06/05/2021     BAJA     3.5
07/05/2021     SUBE     3.0
10/05/2021     BAJA     2.5
11/05/2021     SUBE     4.0
12/05/2021     BAJA     3.5
13/05/2021     BAJA     4.0
14/05/2021     BAJA     5.0
17/05/2021     BAJA     4.0
18/05/2021     SUBE     3.0
19/05/2021     SUBE     4.0
20/05/2021     ESTABLE     2.0
21/05/2021     BAJA     4.0
24/05/2021     SUBE     2.0
25/05/2021     SUBE     3.5
26/05/2021     BAJA     6.0
27/05/2021     SUBE     4.5
28/05/2021     ESTABLE     2.5
01/06/2021     BAJA     3.5
02/06/2021     BAJA     2.0
03/06/2021     BAJA     2.0
04/06/2021     SUBE     2.0
07/06/2021     ESTABLE     1.5
08/06/2021     BAJA     3.0
09/06/2021     BAJA     2.5
10/06/2021     SUBE     3.5
11/06/2021     SUBE     2.5
14/06/2021     ESTABLE     1.5
15/06/2021     BAJA     2.5
16/06/2021     BAJA     2.5
17/06/2021     SUBE     4.0
18/06/2021     BAJA     3.0
21/06/2021     SUBE     3.5
22/06/2021     SUBE     2.5
23/06/2021     SUBE     2.0
24/06/2021     BAJA     1.5
25/06/2021     SUBE     4.5
28/06/2021     ESTABLE     1.5
29/06/2021     BAJA     1.5
30/06/2021     BAJA     3.0
01/07/2021     BAJA     2.5
02/07/2021     BAJA     2.5
06/07/2021     SUBE     2.0
07/07/2021     SUBE     2.5
08/07/2021     BAJA     2.0
09/07/2021     SUBE     3.0
12/07/2021     SUBE     2.0
13/07/2021     SUBE     1.5
14/07/2021     BAJA     3.5
15/07/2021     BAJA     3.0
16/07/2021     BAJA     2.5
19/07/2021     SUBE     2.5
20/07/2021     SUBE     5.5
21/07/2021     BAJA     2.5
22/07/2021     SUBE     2.0
23/07/2021     SUBE     4.0
26/07/2021     BAJA     2.0
27/07/2021     BAJA     3.0
28/07/2021     SUBE     2.5
29/07/2021     BAJA     2.0
30/07/2021     SUBE     2.5
02/08/2021     BAJA     3.5
03/08/2021     BAJA     4.5
04/08/2021     SUBE     3.5
05/08/2021     SUBE     5.0
06/08/2021     SUBE     6.0
09/08/2021     BAJA     4.0
10/08/2021     ESTABLE     2.5
11/08/2021     SUBE     4.0
12/08/2021     SUBE     4.5
13/08/2021     SUBE     8.5
16/08/2021     SUBE     4.0
17/08/2021     SUBE     6.5
18/08/2021     SUBE     4.0
19/08/2021     SUBE     3.0
20/08/2021     SUBE     4.5
23/08/2021     SUBE     4.5
24/08/2021     SUBE     4.0
25/08/2021     BAJA     3.0
26/08/2021     SUBE     3.5
27/08/2021     SUBE     3.0
30/08/2021     SUBE     3.5
31/08/2021     BAJA     4.5
01/09/2021     ESTABLE     2.5
02/09/2021     BAJA     4.0
03/09/2021     SUBE     4.5
07/09/2021     BAJA     2.5
08/09/2021     BAJA     2.0
09/09/2021     BAJA     3.0
10/09/2021     BAJA     3.5
13/09/2021     BAJA     6.5
14/09/2021     SUBE     4.5
15/09/2021     SUBE     4.5
16/09/2021     SUBE     3.0
17/09/2021     BAJA     4.5
20/09/2021     SUBE     3.0
21/09/2021     ESTABLE     5.0
22/09/2021     BAJA     2.5
23/09/2021     SUBE     5.0
24/09/2021     BAJA     3.0
27/09/2021     BAJA     11.5
28/09/2021     BAJA     5.0
29/09/2021     BAJA     6.5
30/09/2021     BAJA     3.5
01/10/2021     BAJA     4.5
04/10/2021     BAJA     6.0
05/10/2021     SUBE     3.0
06/10/2021     SUBE     3.5
07/10/2021     SUBE     3.0
08/10/2021     BAJA     6.5
11/10/2021     BAJA     3.5
12/10/2021     SUBE     5.5
13/10/2021     SUBE     3.5
14/10/2021     SUBE     7.0
15/10/2021     SUBE     3.5
18/10/2021     SUBE     4.5
19/10/2021     ESTABLE     2.5
20/10/2021     BAJA     3.5
21/10/2021     SUBE     2.0
22/10/2021     BAJA     4.5
25/10/2021     SUBE     5.0
26/10/2021     ESTABLE     3.0
